question id,claudesonnet420250514 single LLM,gemini2.5pro single LLM,gpt5 single LLM,grok4 single LLM,massgen,massgen_identified,masgen_show_voting,true_answer
0,D,D,D,D,D,D,D,D
1,C,C,C,C,C,C,C,C
2,D,D,D,D,D,D,D,D
3,C,C,C,C,C,C,C,C
4,C,C,C,C,C,C,C,C
5,A,A,A,A,A,A,A,A
6,A,C,C,C,C,C,C,C
7,D,D,A,A,A,A,A,A
8,D,D,D,D,D,D,D,D
9,D,B,B,B,B,B,B,B
10,A,B,D,B,A,B,B,B
11,B,D,D,D,D,D,D,D
12,B,B,B,B,B,B,B,B
13,A,A,A,A,A,A,A,A
14,B,B,A,A,A,A,A,A
15,C,C,C,C,C,C,C,C
16,B,B,B,B,B,B,B,B
17,C,C,C,C,C,C,C,C
18,C,D,B,D,B,B,D,D
19,C,C,C,C,C,C,C,C
20,B,C,C,C,C,C,C,C
21,A,A,A,A,A,A,A,A
22,A,D,D,D,D,D,D,D
23,B,B,B,B,B,B,B,B
24,C,B,B,B,B,B,B,B
25,D,D,D,D,D,D,D,D
26,A,A,A,A,A,A,A,A
27,A,A,A,A,A,A,A,A
28,C,A,D,B,A,A,B,C
29,B,B,B,B,B,B,B,B
30,A,B,A,B,B,A,A,B
31,A,A,A,A,A,A,A,A
32,A,A,A,A,A,A,A,A
33,B,B,B,B,B,B,B,B
34,A,C,C,C,C,C,C,C
35,C,C,C,C,C,C,C,C
36,A,A,A,A,A,A,A,A
37,C,C,C,C,C,C,C,C
38,D,D,D,B,D,D,D,B
39,B,B,B,B,B,B,B,B
40,C,A,A,B,A,A,A,A
41,A,D,D,D,D,D,D,D
42,A,C,A,C,C,C,C,A
43,D,A,D,A,D,A,D,B
44,B,B,B,B,B,B,B,B
45,B,B,B,B,B,B,B,B
46,B,B,B,B,B,B,B,B
47,D,D,D,D,D,D,D,D
48,A,C,C,C,C,C,C,C
49,A,A,A,A,A,A,A,A
50,B,B,B,B,B,B,B,B
51,C,C,C,C,C,C,C,C
52,A,A,A,A,A,A,A,A
53,B,B,B,B,B,B,B,B
